,nombre,nacionalidad,duracion,carreras_inscritas,carreras_empezadas,pilotos_totales,total_inscripciones,victorias,puntos_totales,cantidad_poles,vueltas_rapidas,podios,titulos_constructores,titulos_pilotos
0,Alex von Falkenhausen Motorenbau,Germany,1952–1953,4,4,5,7,0,,0,0,0,,0
1,Automobiles Gonfaronnaises Sportives(AGS),France,1986–1991,80,32,10,124,0,2,0,0,0,0,0
2,Alfa Romeo,"Italy,Switzerland","1950–1951,1979–1985,2019–2023",214,214,23,443,10,199,12,16,26,0,2
3,Alfa Special,South Africa,"1963,1965",2,2,1,2,0,0,0,0,0,0,0
4,AlphaTauri,Italy,2020–2023,83,83,6,166,1,309,0,2,2,0,0
5,Alta,United Kingdom,1950–1952,5,5,4,6,0,,0,0,0,,0
6,Amon,New Zealand,1974,4,1,2,4,0,0,0,0,0,0,0
7,Andrea Moda,Italy,1992,12,1,4,15,0,0,0,0,0,0,0
8,Apollon,Switzerland,1977,5,1,1,1,0,0,0,0,0,0,0
9,Arrows,United Kingdom,1978–2002,394,383,36,783,0,167,1,0,8,0,0
10,Arzani-Volpini,Italy,1955,1,0,1,1,0,,0,0,0,,0
11,Aston Butterworth,United Kingdom,1952,4,1,2,4,0,,0,0,0,,0
12,Automobili Turismo e Sport,Italy,1963,6,6,3,11,0,0,0,0,0,0,0
13,Auto Technisches Spezialzubehör(ATS),Germany,1977–1984,107,89,15,146,0,7,0,0,0,0,0
14,British American Racing,United Kingdom,1999–2005,118,116,7,236,0,227,2,0,15,0,0
15,Behra-Porsche,Germany,1959–1960,4,2,4,4,0,0,0,0,0,0,0
16,Bellasi,Switzerland,1970–1971,6,2,1,6,0,0,0,0,0,0,0
17,Benetton,"United Kingdom,Italy",1986–2001,260,260,17,520,27,851.5,15,36,102,1,2
18,Boro,Netherlands,1976–1977,8,6,4,8,0,0,0,0,0,0,0
19,Brabham,United Kingdom,"1962–1987,1989–1992",403,394,39,995,35,843,39,41,124,2,4
20,Brawn GP,United Kingdom,2009,17,17,2,34,8,172,5,4,15,1,1
21,British Racing Motors,United Kingdom,"1951,1956–1977",208,197,71,559,17,385,11,15,61,1,1
22,British Racing Partnership,United Kingdom,1963–1964,13,13,2,19,0,11,0,0,0,0,0
23,Bugatti,France,1956,1,1,1,1,0,,0,0,0,,0
